date,jour,semaine,temps_estime_min,type_tache,tour_id,culture,action,conditions_a_valider,decision_attendue,notes
2026-06-08,Lundi,1,120,Semis,T1/T2/T3,Toutes cultures retenues,Semer vague principale en cubes de laine de roche,"Eau pH 5.8-6.2; cubes humides non detrempes; chaleur stable; etiquettes en place","Tous les cubes semes et notes de depart inscrites","Inclure laitues roquette basilic coriandre pak-choi kale bette pois tomates piments concombres courge test"
2026-06-12,Vendredi,1,45,Validation semis,Semis,Toutes cultures,Verifier germination humidite temperature et etiolement,"Cubes humides; plantules droites; lumiere douce apres levee; aucune moisissure","Rapprocher lumiere si etiolement; conserver cubes lents avec marge","Ne pas jeter piments/tomates trop tot car germination plus lente"
2026-06-13,Samedi,1,20,Observation courte,Semis,Toutes cultures,Ajouter eau au besoin et noter germination,"Cubes encore humides; pas d'odeur ni moisissure","Arroser legerement seulement si cubes sechent","Travail fin de semaine optionnel"
2026-06-15,Lundi,2,60,Semis et inspection,T1/T2,Laitues roquette basilic coriandre,Semer vague 2 et verifier racines des semis rapides,"Racines visibles sur cubes rapides; plantules non etiolees; pH eau 5.8-6.2","Identifier les premiers candidats au transfert futur","Ne pas transferer si racines absentes"
2026-06-19,Vendredi,2,45,Preparation tour,T1,Salades aromates,Preparer T1 pour premiers transferts,"T1 pH 6.0; EC 1.2-1.5; lumiere 12000-25000 lux; pompe stable","T1 prete si pH/EC stabilises quelques heures","Reporter transfert si solution instable"
2026-06-20,Samedi,2,20,Observation courte,Semis,Toutes cultures,Verifier cubes et tourner plateau si lumiere asymetrique,"Humidite uniforme; plantules droites","Ajuster hauteur lumiere ou rotation plateau","Travail fin de semaine optionnel"
2026-06-22,Lundi,3,90,Transfert et semis,T1/T2,Salades roquette basilic pak-choi kale bette,Transferer plants rapides et semer vague 3,"Racines visibles; 2 vraies feuilles pour feuilles rapides; T1/T2 pH EC cibles","Transferer seulement plants vigoureux; laisser les autres en semis","Manipuler par cube pas par tige"
2026-06-26,Vendredi,3,45,Validation reprise,T1/T2,Plants transferes,Verifier reprise post-transfert et ajuster pH EC lumiere,"Feuilles fermes; pas de fletrissement durable; pH/EC dans cible","Ajuster solution; retirer plants en echec si necessaire","Surveiller surtout roquette et pak-choi"
2026-06-27,Samedi,3,20,Observation courte,T1/T2,Plants transferes,Verifier niveau d'eau et fletrissement,"Niveau reservoir correct; racines humides","Ajouter eau si besoin; noter problemes","Travail fin de semaine optionnel"
2026-06-29,Lundi,4,90,Transfert support,T2,Pois mange-tout,Transferer pois si racines fortes et installer guidage doux,"Racines fortes; tiges non cassees; T2 pH 6.2-6.4; EC 1.5-1.8; support pret","Transferer pois ou reporter si racines faibles","Attacher legerement sans serrer"
2026-07-03,Vendredi,4,90,Transfert fruits,T3,Tomates piments concombres courge,Transferer fruits seulement si plants vigoureux,"T3 pH 6.0-6.2; EC 2.0-2.4; 30000-60000 lux; plants trapus","Transferer ou reporter au 2026-07-06 si trop petits","Courge test: accepter seulement si espace lumineux"
2026-07-04,Samedi,4,30,Observation courte,T3,Fruits,Verifier reprise des fruits apres transfert,"Pas de fletrissement prolonge; solution stable","Ombre ou stress: eloigner feuilles et reduire lumiere si choc","Travail fin de semaine optionnel"
2026-07-06,Lundi,5,75,Ajustement et succession,T1/T2/T3,Salades pois fruits,Reporter/transfert tardif si necessaire; commencer taille legere,"Racines actives; plants fruits bien droits; reserves disponibles","Planter reserves salade si consommation prevue haute","Derniere fenetre normale pour transfert fruits"
2026-07-10,Vendredi,5,60,Validation conditions,T1/T2/T3,Toutes tours,Mesurer pH EC temperature humidite lumiere,"T1 EC 1.2-1.5; T2 EC 1.5-1.8; T3 EC 2.0-2.4; humidite 50-70","Ajuster solution et hauteur lampes","Noter lux par tour si luxmetre disponible"
2026-07-11,Samedi,5,20,Observation courte,Toutes tours,Toutes cultures,Recolte legere si feuilles pretes,"Feuilles exterieures assez grandes","Recolter sans degarnir le coeur","Travail fin de semaine optionnel"
2026-07-13,Lundi,6,75,Succession et taille,T1/T2/T3,Salades pois fruits,Utiliser reserves si salades insuffisantes; guider pois tomates concombres,"Consommation salade; ombre; hauteur plants","Ajouter 2 laitues/roquettes si moins de 4 portions semaine","Tailler legerement tomates/concombres"
2026-07-17,Vendredi,6,60,Validation et pollinisation,T2/T3,Pois tomates concombres piments,Verifier fleurs et debuter pollinisation si presente,"Fleurs ouvertes; plants vigoureux; lumiere suffisante","Polliniser manuellement si fleurs; retirer fleurs faibles si plant petit","Concombres/courge demandent fleur male vers femelle"
2026-07-18,Samedi,6,30,Observation courte,T1/T2,Salades pois,Recolter feuilles et verifier attaches des pois,"Pois accroches au support; feuilles non ombragees","Repositionner attaches","Travail fin de semaine optionnel"
2026-07-20,Lundi,7,75,Entretien productif,T1/T2/T3,Toutes cultures,Taille guidage succession et recolte,"Densite acceptable; T3 avec aeration; reserves T2 utiles","Ajouter pois si tres apprecies et support libre","Garder T3 peu dense"
2026-07-24,Vendredi,7,60,Mesures completes,T1/T2/T3,Toutes tours,Mesurer pH EC temperature humidite lumiere et inspecter racines,"Racines claires; pas d'odeur; pH/EC dans cible","Corriger pH/EC; reduire densite si racines brunes","Photoperiode cible 14-16 h sauf T1 possible 12-16 h"
