id,culture,variete,bio,nom_scientifique,categorie,jours_germination,jours_semis_transplant,jours_transplant_recolte,cycle_estime_jours,hauteur_cm_estimee,port_preference,graines_par_cube,notes
S001,Oignon a botteler,Parade,Oui,Allium fistulosum,aromate/allium,8,28,35,63,40,milieu,10-12,Coupe au besoin; bon candidat pour recoltes regulieres
S002,Moutarde,Wave Miike,Oui,Brassica juncea,feuille rapide,4,18,21,39,35,milieu,1-2,Culture rapide; gout piquant
S003,Bette a carde,Rainbow Chard,Non specifie,Beta vulgaris,feuille productive,7,21,28,49,55,milieu,1-2,Recolte feuille par feuille
S004,Concombre,Sumter,Non specifie,Cucumis sativus,fruit,5,28,35,63,180,haut,1-2,Demande support et espace
S005,Laitue,Early Curled Simpson,Non specifie,Lactuca sativa,feuille rapide,4,18,21,39,22,bas,1-2,Bonne pour succession
S006,Kale / chou frise,Lacinato,Oui,Brassica oleracea var. acephala,feuille productive,5,21,25,46,75,haut,1-2,Recolte continue
S007,Laitue,Red Salad Bowl,Non specifie,Lactuca sativa,feuille rapide,4,18,21,39,22,bas,1-2,Bonne pour salades
S008,Epinard,Giant Noble,Non specifie,Spinacia oleracea,feuille fraiche,7,21,25,46,25,bas,2-3,Prefere conditions plus fraiches
S009,Courge a moelle,Bianco di Trieste,Non specifie,Cucurbita pepo,fruit volumineux,6,28,30,58,80,haut,1,A valider; peut etre trop volumineux pour une tour
S010,Laitue romaine,Romaine,Non specifie,Lactuca sativa var. longifolia,feuille rapide,5,21,35,56,30,bas,1-2,Bonne base salade
S011,Piment cayenne,Ring of Fire,Oui,Capsicum annuum,fruit long,12,42,60,102,75,haut,1,Long cycle; peu d'emplacements
S012,Persil italien,Italian Flat Leaf,Oui,Petroselinum crispum var. neapolitanum,aromate,14,35,35,70,35,milieu,6-8,Recolte continue
S013,Pak-choi,Shanghai,Oui,Brassica rapa var. chinensis,feuille rapide,4,18,24,42,25,bas,2,Rapide; recolte jeune possible
S014,Melange de laitues,Gourmet Lettuce,Non specifie,Lactuca sativa,feuille rapide,4,18,21,39,22,bas,6-8,Bon pour essais
S015,Piment habanero,Orange,Oui,Capsicum chinense,fruit long,14,49,75,124,90,haut,1,Long cycle; tres productif si bien place
S016,Tomate cerise,Sunrise Bumble Bee,Non specifie,Solanum lycopersicum,fruit long,7,42,45,87,200,haut,1,Demande support
S017,Kale,variete inconnue,Non specifie,Brassica oleracea var. acephala,feuille productive,5,21,25,46,75,haut,1-2,A comparer avec Lacinato
S018,Piment jalapeno,TAM,Oui,Capsicum annuum,fruit long,10,42,55,97,75,haut,1,Long cycle; bon rendement culinaire
S019,Ciboulette,De jardin,Oui,Allium schoenoprasum,aromate,12,35,45,80,35,milieu,20-30,Recolte continue
S020,Aneth,De jardin,Oui,Anethum graveolens,aromate,10,28,35,63,45,milieu,6-8,A resemer regulierement
S021,Pois mange-tout,Cascadia,Oui,Pisum sativum var. saccharatum,fruit grimpant,7,21,40,61,150,haut,1-2,Demande support; bon rendement frais
S022,Haricot nain,Maxibel,Oui,Phaseolus vulgaris var. nana,fruit rapide,6,14,40,54,50,milieu,1-2,Cycle assez court
S023,Roquette,De jardin,Oui,Eruca sativa,feuille rapide,4,14,18,32,28,bas,6-8,Tres bon pour succession
S024,Basilic,Cannelle,Non specifie,Ocimum basilicum,aromate,6,21,21,42,50,milieu,6-8,Aromate specialise
S025,Pois mange-tout,Oregon Sugar Pod,Oui,Pisum sativum var. macrocarpon,fruit grimpant,7,21,40,61,150,haut,1-2,Demande support
S026,Basilic,Classique,Non specifie,Ocimum basilicum,aromate,6,21,21,42,50,milieu,6-8,Prioritaire si consommation frequente
S027,Coriandre,Santo,Oui,Coriandrum sativum,aromate,8,21,21,42,45,milieu,6-8,Succession courte; monte vite en graines
S028,Laitue Bibb,Bibb,Non specifie,Lactuca sativa,feuille rapide,5,21,28,49,25,bas,1,Texture tendre
S029,Laitue romaine,Romaine,Non specifie,Lactuca sativa var. longifolia,feuille rapide,5,21,35,56,30,bas,1-2,Doublon possible de S010
S030,Bette a carde,Rainbow Chard,Non specifie,Beta vulgaris,feuille productive,7,21,28,49,55,milieu,1-2,Doublon possible de S003
S031,Concombre,Marketmore,Non specifie,Cucumis sativus,fruit,5,28,35,63,180,haut,1-2,Demande support et espace
S032,Haricot grimpant,Kentucky Wonder,Non specifie,Phaseolus vulgaris,fruit grimpant,7,14,50,64,200,haut,1-2,Demande support
S033,Concombre a marinades,National Pickling,Non specifie,Cucumis sativus,fruit,5,28,35,63,180,haut,1-2,Demande support; utile si marinades
S034,Laitue,Black Seeded Simpson,Non specifie,Lactuca sativa,feuille rapide,4,18,21,39,22,bas,1-2,Bonne pour succession
S035,Roquette sauvage,Arugula,Non specifie,Diplotaxis tenuifolia,feuille rapide,7,21,28,49,30,bas,6-8,Gout plus intense
S036,Laitue,Prizehead,Non specifie,Lactuca sativa,feuille rapide,4,18,21,39,22,bas,1-2,Bonne pour salades
