semence_id,culture,variete,ph_min,ph_max,ph_optimal,ec_min_ms_cm,ec_max_ms_cm,ec_optimal_ms_cm,humidite_min_pct,humidite_max_pct,humidite_optimale_pct,temp_min_c,temp_max_c,temp_optimale_c,lumiere_min_h,lumiere_max_h,lumiere_optimale_h,lux_min,lux_max,lux_optimal,notes
S001,Oignon a botteler,Parade,6.0,6.8,6.4,1.4,2.0,1.7,50,70,60,13,24,20,12,16,14,15000,25000,20000,"Parametres proches des aromates/alliums; tolere bien un reservoir feuilles"
S002,Moutarde,Wave Miike,5.8,6.5,6.2,1.2,2.0,1.6,50,70,60,16,22,19,12,16,14,15000,25000,20000,"Feuille rapide; chaleur et stress hydrique accentuent le piquant"
S003,Bette a carde,Rainbow Chard,6.0,6.8,6.3,1.8,2.3,2.0,50,70,60,16,24,20,12,16,14,18000,30000,24000,"Feuille productive; accepte une EC plus haute que les laitues"
S004,Concombre,Sumter,5.5,6.5,6.0,1.7,2.5,2.2,60,70,65,21,29,25,14,16,15,30000,50000,40000,"Culture a support; besoin de forte lumiere et bonne circulation d'air"
S005,Laitue,Early Curled Simpson,5.5,6.5,6.0,0.8,1.6,1.2,50,70,60,16,24,20,12,16,14,12000,22000,17000,"Faible EC; sensible a la chaleur et a la montee en graines"
S006,Kale / chou frise,Lacinato,5.8,6.5,6.2,1.3,2.0,1.6,50,70,60,16,24,20,12,16,14,20000,30000,25000,"Feuille productive; bon candidat pour recolte continue"
S007,Laitue,Red Salad Bowl,5.5,6.5,6.0,0.8,1.6,1.2,50,70,60,16,24,20,12,16,14,12000,22000,17000,"Faible EC; planter en succession"
S008,Epinard,Giant Noble,6.0,7.0,6.5,1.8,2.3,2.0,50,70,60,10,22,18,12,14,13,15000,25000,20000,"Prefere le frais; peut mal performer en chaleur"
S009,Courge a moelle,Bianco di Trieste,5.8,6.5,6.2,1.8,2.4,2.1,50,70,60,21,29,25,14,16,15,30000,50000,40000,"Tres volumineux pour une tour; tester seulement si support et espace suffisants"
S010,Laitue romaine,Romaine,5.5,6.5,6.0,0.8,1.6,1.2,50,70,60,16,24,20,12,16,14,12000,22000,17000,"Faible EC; bonne base salade"
S011,Piment cayenne,Ring of Fire,5.8,6.5,6.2,1.8,2.8,2.2,60,70,65,21,29,25,14,18,16,30000,50000,40000,"Cycle long; separer des laitues si EC elevee"
S012,Persil italien,Italian Flat Leaf,5.8,6.5,6.2,1.2,1.8,1.5,50,70,60,18,24,21,12,16,14,15000,25000,20000,"Aromate stable; croissance plus lente au depart"
S013,Pak-choi,Shanghai,5.8,6.5,6.2,1.5,2.0,1.7,50,70,60,16,22,19,12,16,14,15000,25000,20000,"Brassica rapide; recolter jeune si chaleur"
S014,Melange de laitues,Gourmet Lettuce,5.5,6.5,6.0,0.8,1.6,1.2,50,70,60,16,24,20,12,16,14,12000,22000,17000,"Melange; utiliser les parametres laitue"
S015,Piment habanero,Orange,5.8,6.5,6.2,1.8,2.8,2.2,60,70,65,22,30,26,14,18,16,30000,50000,40000,"Tres chaud et long cycle; aime chaleur et lumiere"
S016,Tomate cerise,Sunrise Bumble Bee,5.5,6.5,6.0,2.0,3.5,2.5,60,70,65,21,27,24,14,18,16,35000,60000,45000,"Forte lumiere; support et taille necessaires"
